model,is_baseline,supports_sample_weight,best_params,cv_mean_mae,cv_std_mae,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_weighted_mae,test_weighted_mae,generalization_gap_mae,failure_reason,selected_final_model
dummy_median,True,False,{},,,24.244664171249465,23.838309269312795,31.418393997302182,29.98955797763568,-0.010781857609818202,-0.002747128307465152,22.23517263747279,20.765360435341282,-0.4063549019366697,,False
ridge,False,True,"{""model__alpha"": 50.0}",21.21528979801851,0.7863145048339564,19.840133922016214,22.511761263366985,26.150822116881606,28.08229083853728,0.29973863154618985,0.12074192936958816,16.498315034182916,18.54739889719592,2.6716273413507707,,False
huber,False,True,"{""model__alpha"": 0.01, ""model__epsilon"": 2.0}",21.789092033348915,0.5992876335127779,19.223874361200938,23.461270954409812,26.003085993772668,29.760277094091137,0.3076283777042329,0.01252697962198579,15.602219547004923,19.29808513423078,4.237396593208874,,False
random_forest,False,True,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 400}",21.108319156152895,0.9904667474232014,13.146314668319599,22.009343534812853,17.642793633948937,27.233470197232734,0.6812690893765869,0.1730918613168272,10.575070884429884,18.472075045714426,8.863028866493254,,True
hist_gradient_boosting,False,True,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",21.499573031860955,1.0769456511448972,16.299018357614674,22.227387421215752,21.608372217622893,27.6447579009046,0.5218836674886782,0.14792685153039065,12.64714831132801,18.868163211504495,5.928369063601078,,False
mlp,False,False,"{""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [64], ""model__learning_rate_init"": 0.001}",21.85062750708399,0.685713186513124,19.824267776820612,22.623963531316647,26.01718757011448,27.952748116536018,0.3068772223458377,0.12883519871773907,17.569060010713088,19.00632926468004,2.7996957544960352,,False
